id,name,plugin_rule_key,plugin_config_key,plugin_name,description,priority,template_id,status,language,note_created_at,note_updated_at,note_user_login,note_data,remediation_function,def_remediation_function,remediation_gap_mult,def_remediation_gap_mult,remediation_base_effort,def_remediation_base_effort,gap_description,tags,system_tags,is_template,description_format,created_at,updated_at,rule_type
763,Package names should comply with a naming convention,S00120,S120,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,convention,0,HTML,1477918944679,1478139862677,1
764,Statements should be on separate lines,S00122,S122,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,1min,,,convention,0,HTML,1477918944680,1478139862677,1
770,Conditions should not unconditionally evaluate to ""TRUE"" or to ""FALSE"",S2583,,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,"cert,cwe,misra,pitfall",0,HTML,1477918944685,1478139862682,2
771,Local variable and method parameter names should comply with a naming convention,S00117,S117,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,2min,,,convention,0,HTML,1477918944686,1478139862683,1
772,Strings literals should be placed on the left side when checking for equality,S1132,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,bad-practice,0,HTML,1477918944687,1478139862684,2
775,Type parameter names should comply with a naming convention,S00119,S119,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,convention,0,HTML,1477918944690,1478139862685,1
776,Deprecated code should be removed,S1133,,squid,,0,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,obsolete,0,HTML,1477918944691,1478139862686,1
779,Track uses of ""FIXME"" tags,S1134,,squid,,2,,READY,java,,,,,,,,,,,,,cwe,0,HTML,1477918944694,1478139862689,1
781,Track uses of ""TODO"" tags,S1135,,squid,,0,,READY,java,,,,,,,,,,,,,cwe,0,HTML,1477918944696,1478139862690,1
782,Field names should comply with a naming convention,S00116,S116,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,2min,,,convention,0,HTML,1477918944696,1478139862690,1
784,Constant names should comply with a naming convention,S00115,S115,squid,,3,,READY,java,,,,,,CONSTANT_ISSUE,,,,2min,,,convention,0,HTML,1477918944698,1478139862692,1
